latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.58673,-122.75137,327.69,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,285.63,3.22,N,0
39.58733,-122.74616,308.19,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,281.82,2.42,N,0
39.58848,-122.75018,324.7,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,287.19,4.61,N,0
39.59154,-122.74667,320.46,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,286.58,3.6,N,0
39.59325,-122.74538,320.67,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,285.78,2.59,N,0
39.67506,-122.77454,321.93,0.42,0.61,2020-08-17,1058,N,VIIRS,n,2,288.6,3.93,N,0
39.67715,-122.78197,367,0.42,0.61,2020-08-17,1058,N,VIIRS,h,2,293.15,3.93,N,0
39.68106,-122.77417,309.26,0.42,0.61,2020-08-17,1058,N,VIIRS,n,2,289.37,3.93,N,0
39.68311,-122.78145,323.81,0.42,0.61,2020-08-17,1058,N,VIIRS,n,2,289.56,3.93,N,0
39.68459,-122.76498,301.92,0.42,0.61,2020-08-17,1058,N,VIIRS,n,2,288.92,2.01,N,0
39.68671,-122.77257,334.52,0.42,0.61,2020-08-17,1058,N,VIIRS,n,2,291.41,5.3,N,0
39.68856,-122.77914,340.13,0.42,0.61,2020-08-17,1058,N,VIIRS,n,2,289.79,5.3,N,0
39.75253,-122.66933,305.82,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,290.03,2.24,N,0
39.75375,-122.67364,322.15,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,290.5,5.37,N,0
39.75452,-122.65466,310.03,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,289.43,1.74,N,0
39.75481,-122.67735,330.11,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,291.09,5.37,N,0
39.75602,-122.68163,354.08,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,291.9,44.1,N,0
39.7566,-122.66204,317.19,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,289.27,2.5,N,0
39.7575,-122.68689,345.46,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,293.44,44.1,N,0
39.75804,-122.64538,308.9,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,287.73,1.74,N,0
39.75822,-122.66776,324.37,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,289.83,2.5,N,0
39.75921,-122.69294,355.74,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,290.7,23.94,N,0
39.75951,-122.67232,333.43,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,291.08,6.86,N,0
39.75993,-122.65207,313.87,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,287.62,1.74,N,0
39.76056,-122.69769,305.52,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,290.13,23.94,N,0
39.76067,-122.67644,351.06,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,293.44,6.86,N,0
39.76184,-122.65886,312.99,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,288.72,2.5,N,0
39.76191,-122.68079,346.99,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,301.66,154.56,N,0
39.76335,-122.64244,302.35,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,287.65,0.9,N,0
39.76356,-122.66496,311.03,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,289.04,2.5,N,0
39.76485,-122.69119,367,0.43,0.62,2020-08-17,1058,N,VIIRS,h,2,306.57,140.49,N,0
39.76492,-122.64803,304.04,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,288.35,0.9,N,0
39.76507,-122.6703,312.55,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,289.49,6.86,N,0
39.76608,-122.69556,318.52,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,290.31,140.49,N,0
39.76648,-122.67531,320.51,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,290.03,6.86,N,0
39.76648,-122.65357,303.18,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,289.25,1.73,N,0
39.76795,-122.68051,330.74,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,290.52,154.56,N,0
39.76937,-122.68556,367,0.43,0.62,2020-08-17,1058,N,VIIRS,h,2,297.5,154.56,N,0
39.77058,-122.6898,322.47,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,290.63,140.49,N,0
39.77192,-122.67284,313.03,0.43,0.62,2020-08-17,1058,N,VIIRS,n,2,290.56,3.51,N,0
