latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
42.62349,-121.42639,298.11,0.8,0.78,2021-07-07,1122,N,VIIRS,n,2,287.52,5.36,N,0
42.62959,-121.42057,298.04,0.8,0.78,2021-07-07,1122,N,VIIRS,n,2,287.85,2.15,N,0
42.63573,-121.43755,298.71,0.79,0.78,2021-07-07,1122,N,VIIRS,n,2,286.21,2.15,N,0
42.6363,-121.41646,298.63,0.8,0.78,2021-07-07,1122,N,VIIRS,n,2,288.33,2.15,N,0
42.63987,-121.43422,297.15,0.8,0.78,2021-07-07,1122,N,VIIRS,n,2,285.88,3.06,N,0
42.64563,-121.42741,297.79,0.8,0.78,2021-07-07,1122,N,VIIRS,n,2,287.04,3.94,N,0
42.64862,-121.40517,300.31,0.8,0.78,2021-07-07,1122,N,VIIRS,n,2,288.76,6.29,N,0
42.58195,-121.37201,349.89,0.4,0.37,2021-07-07,2106,N,VIIRS,n,2,316.89,16.49,D,0
42.58261,-121.36713,353.42,0.4,0.37,2021-07-07,2106,N,VIIRS,n,2,323.85,16.49,D,0
42.58464,-121.37772,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,346.57,74.76,D,0
42.5853,-121.37284,367,0.4,0.37,2021-07-07,2106,N,VIIRS,l,2,373.71,142.39,D,0
42.58597,-121.36798,367,0.4,0.37,2021-07-07,2106,N,VIIRS,l,2,373.87,142.39,D,0
42.58663,-121.36313,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,317.98,51.79,D,0
42.58734,-121.38342,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,339.16,74.76,D,0
42.588,-121.37856,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,371.97,74.76,D,0
42.58867,-121.37369,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,357.53,142.39,D,0
42.58933,-121.36883,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,328.74,142.39,D,0
42.58999,-121.36398,353.72,0.4,0.37,2021-07-07,2106,N,VIIRS,n,2,326.47,51.79,D,0
42.5907,-121.38425,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,364.11,52.48,D,0
42.59136,-121.3794,353.65,0.4,0.37,2021-07-07,2106,N,VIIRS,l,2,329.61,52.48,D,0
42.59203,-121.37453,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,316.44,21.76,D,0
42.59269,-121.36967,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,315.24,21.76,D,0
42.5934,-121.38996,367,0.4,0.37,2021-07-07,2106,N,VIIRS,l,2,343.85,85.36,D,0
42.59406,-121.38509,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,320.56,52.48,D,0
42.59543,-121.40051,367,0.4,0.37,2021-07-07,2106,N,VIIRS,l,2,338.72,24.94,D,0
42.59609,-121.39565,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,355.11,75.68,D,0
42.59676,-121.39081,348.53,0.4,0.37,2021-07-07,2106,N,VIIRS,n,2,309.92,75.68,D,0
42.59746,-121.41106,355.28,0.4,0.37,2021-07-07,2106,N,VIIRS,n,2,316.5,11.69,D,0
42.59813,-121.40622,348.41,0.4,0.37,2021-07-07,2106,N,VIIRS,n,2,317.24,24.94,D,0
42.59879,-121.40135,349.84,0.4,0.37,2021-07-07,2106,N,VIIRS,n,2,322.7,24.94,D,0
42.60014,-121.41683,367,0.4,0.37,2021-07-07,2106,N,VIIRS,l,2,365.28,220.81,D,0
42.60081,-121.41194,367,0.4,0.37,2021-07-07,2106,N,VIIRS,l,2,377.49,220.81,D,0
42.60148,-121.40707,353.96,0.4,0.37,2021-07-07,2106,N,VIIRS,n,2,328.79,96.95,D,0
42.60349,-121.41773,367,0.4,0.37,2021-07-07,2106,N,VIIRS,h,2,342.41,220.81,D,0
42.60416,-121.41284,356.28,0.4,0.37,2021-07-07,2106,N,VIIRS,l,2,333.51,220.81,D,0
42.60448,-121.41568,367,0.4,0.37,2021-07-07,2106,N,VIIRS,l,2,338.69,28.46,D,0
42.60483,-121.40794,345.63,0.4,0.37,2021-07-07,2106,N,VIIRS,n,2,307.98,96.95,D,0
42.60514,-121.41079,349.55,0.4,0.37,2021-07-07,2106,N,VIIRS,n,2,317.54,28.46,D,0
