latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
38.58126,-120.54417,314.22,0.5,0.66,2021-08-15,1052,N,VIIRS,n,2,289.31,2,N,0
38.58534,-120.53572,331.94,0.5,0.66,2021-08-15,1052,N,VIIRS,n,2,291.62,4.94,N,0
38.58686,-120.54092,335.64,0.5,0.66,2021-08-15,1052,N,VIIRS,n,2,293.28,4.24,N,0
38.58843,-120.5463,304.51,0.5,0.66,2021-08-15,1052,N,VIIRS,n,2,290.19,4.24,N,0
38.57409,-120.53461,343.21,0.39,0.44,2021-08-15,2033,N,VIIRS,n,2,309.75,39.75,D,0
38.57502,-120.5302,343.52,0.39,0.44,2021-08-15,2033,N,VIIRS,n,2,305.78,39.75,D,0
38.57797,-120.5361,367,0.39,0.44,2021-08-15,2033,N,VIIRS,h,2,341.72,90.5,D,0
38.57888,-120.53181,367,0.39,0.44,2021-08-15,2033,N,VIIRS,l,2,327.8,90.5,D,0
38.5809,-120.54213,347.48,0.39,0.44,2021-08-15,2033,N,VIIRS,n,2,308.1,42.67,D,0
38.58184,-120.5377,354.32,0.39,0.44,2021-08-15,2033,N,VIIRS,n,2,310.49,90.5,D,0
38.58276,-120.53335,367,0.39,0.44,2021-08-15,2033,N,VIIRS,h,2,307.97,90.5,D,0
38.58662,-120.53494,356.82,0.39,0.44,2021-08-15,2033,N,VIIRS,n,2,307.59,13.21,D,0
38.58868,-120.5451,355.33,0.39,0.44,2021-08-15,2033,N,VIIRS,n,2,307.95,13.16,D,0
38.58961,-120.54071,345.19,0.39,0.44,2021-08-15,2033,N,VIIRS,n,2,304.08,13.21,D,0
38.58392,-120.5377,317.37,0.33,0.56,2021-08-15,912,N,VIIRS,n,2,291.28,5.65,N,0
38.58419,-120.54182,367,0.33,0.56,2021-08-15,912,N,VIIRS,h,2,295.55,5.65,N,0
38.58446,-120.54586,367,0.33,0.56,2021-08-15,912,N,VIIRS,h,2,295.26,6.56,N,0
38.58472,-120.54986,302.53,0.33,0.56,2021-08-15,912,N,VIIRS,n,2,291.19,6.56,N,0
38.58538,-120.53922,340.37,0.33,0.56,2021-08-15,912,N,VIIRS,n,2,293.04,10.45,N,0
38.58562,-120.54327,367,0.33,0.56,2021-08-15,912,N,VIIRS,h,2,301.62,10.45,N,0
38.58586,-120.54725,354.47,0.34,0.56,2021-08-15,912,N,VIIRS,n,2,296.75,16.47,N,0
38.5908,-120.54268,327.04,0.33,0.56,2021-08-15,912,N,VIIRS,n,2,291.96,2.2,N,0
38.57193,-120.53136,313.56,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,294.62,2.72,N,0
38.57337,-120.53722,316.36,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,292.65,2.72,N,0
38.575,-120.52328,327.16,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,294.08,16.02,N,0
38.57645,-120.52915,316.98,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,295.6,3.07,N,0
38.57796,-120.53527,314.99,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,295.32,3.07,N,0
38.57825,-120.51586,367,0.57,0.52,2021-08-16,1033,N,VIIRS,h,2,301.42,16.02,N,0
38.57945,-120.54131,310.95,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,293.22,3.16,N,0
38.57961,-120.52139,343.12,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,299.12,16.02,N,0
38.58091,-120.54725,320.69,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,291.53,3.16,N,0
38.58101,-120.52703,317.99,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,295.16,3.07,N,0
38.58249,-120.53303,308.32,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,293.93,3.07,N,0
38.58428,-120.51973,336.1,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,296.93,8.54,N,0
38.58549,-120.54523,317.43,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,293.62,3.16,N,0
38.58565,-120.52528,328.37,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,296.61,11.85,N,0
38.58706,-120.531,367,0.57,0.52,2021-08-16,1033,N,VIIRS,h,2,299.53,11.85,N,0
38.58853,-120.53696,315.74,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,293.05,7.44,N,0
38.59161,-120.54955,303.75,0.57,0.52,2021-08-16,1033,N,VIIRS,n,2,292.62,0.92,N,0
38.57196,-120.5225,337.54,0.33,0.56,2021-08-16,2015,N,VIIRS,n,2,294.44,4.53,D,0
38.57295,-120.51868,343.77,0.33,0.56,2021-08-16,2015,N,VIIRS,n,2,295.41,5.81,D,0
38.57399,-120.51469,339.18,0.33,0.56,2021-08-16,2015,N,VIIRS,n,2,295.06,5.81,D,0
38.57508,-120.51045,367,0.33,0.56,2021-08-16,2015,N,VIIRS,h,2,298.62,9.46,D,0
38.57621,-120.50607,346.55,0.33,0.56,2021-08-16,2015,N,VIIRS,n,2,295.77,9.46,D,0
38.57782,-120.52098,354.98,0.33,0.56,2021-08-16,2015,N,VIIRS,n,2,296.84,18.17,D,0
38.57899,-120.51645,353.26,0.33,0.56,2021-08-16,2015,N,VIIRS,n,2,299.48,18.17,D,0
38.58019,-120.51179,367,0.33,0.56,2021-08-16,2015,N,VIIRS,h,2,310.65,45.15,D,0
38.58239,-120.54555,332.37,0.33,0.56,2021-08-16,2015,N,VIIRS,n,2,302.27,5.87,D,0
38.5826,-120.52359,346.68,0.33,0.56,2021-08-16,2015,N,VIIRS,n,2,301.85,18.17,D,0
38.58376,-120.51908,367,0.33,0.56,2021-08-16,2015,N,VIIRS,h,2,302.84,18.17,D,0
38.58497,-120.51443,367,0.33,0.56,2021-08-16,2015,N,VIIRS,h,2,300.44,45.15,D,0
38.58743,-120.52599,367,0.33,0.56,2021-08-16,2015,N,VIIRS,h,2,302.84,10.76,D,0
38.59023,-120.53636,347.39,0.33,0.56,2021-08-16,2015,N,VIIRS,n,2,302.23,6.02,D,0
38.59134,-120.53204,339.04,0.33,0.56,2021-08-16,2015,N,VIIRS,n,2,300.84,6.02,D,0
38.59317,-120.54613,340.17,0.33,0.56,2021-08-16,2015,N,VIIRS,n,2,301.74,4.07,D,0
38.5661,-120.5182,355.88,0.51,0.66,2021-08-16,2155,N,VIIRS,n,2,303.33,26.33,D,0
38.56631,-120.51218,367,0.51,0.66,2021-08-16,2155,N,VIIRS,h,2,306.97,31.84,D,0
38.56652,-120.50631,367,0.51,0.66,2021-08-16,2155,N,VIIRS,h,2,301.9,31.84,D,0
38.56672,-120.50063,338.37,0.51,0.66,2021-08-16,2155,N,VIIRS,n,2,299.26,8.34,D,0
38.56692,-120.49499,332.58,0.52,0.66,2021-08-16,2155,N,VIIRS,n,2,298.17,8.34,D,0
38.56712,-120.48918,330.88,0.52,0.66,2021-08-16,2155,N,VIIRS,n,2,296.96,4.93,D,0
38.56733,-120.48313,333.68,0.52,0.67,2021-08-16,2155,N,VIIRS,n,2,295.81,4.93,D,0
38.56755,-120.47704,330.69,0.52,0.67,2021-08-16,2155,N,VIIRS,n,2,294.98,7.02,D,0
38.56964,-120.52521,339.7,0.51,0.66,2021-08-16,2155,N,VIIRS,n,2,301.29,49.65,D,0
38.56982,-120.5191,208,0.51,0.66,2021-08-16,2155,N,VIIRS,l,2,323.15,147.71,D,0
38.57001,-120.51289,367,0.51,0.66,2021-08-16,2155,N,VIIRS,h,2,309.77,147.71,D,0
38.57019,-120.50686,343.55,0.51,0.66,2021-08-16,2155,N,VIIRS,n,2,307.55,102.75,D,0
38.57037,-120.50095,367,0.52,0.66,2021-08-16,2155,N,VIIRS,h,2,306,102.75,D,0
38.57054,-120.49519,367,0.52,0.66,2021-08-16,2155,N,VIIRS,h,2,299.07,34.8,D,0
38.57071,-120.48939,367,0.52,0.67,2021-08-16,2155,N,VIIRS,h,2,297.46,34.8,D,0
38.57089,-120.48336,347.72,0.52,0.67,2021-08-16,2155,N,VIIRS,n,2,296.08,11.94,D,0
38.57108,-120.47719,340.04,0.52,0.67,2021-08-16,2155,N,VIIRS,n,2,294.55,11.94,D,0
38.57209,-120.5247,340.56,0.51,0.66,2021-08-16,2155,N,VIIRS,n,2,300.68,75.61,D,0
38.57229,-120.51887,282.61,0.51,0.66,2021-08-16,2155,N,VIIRS,l,2,320.85,75.61,D,0
38.5725,-120.51299,208,0.51,0.66,2021-08-16,2155,N,VIIRS,l,2,323.09,326.86,D,0
38.57271,-120.50719,367,0.51,0.66,2021-08-16,2155,N,VIIRS,l,2,349.46,326.86,D,0
38.57292,-120.50143,367,0.51,0.66,2021-08-16,2155,N,VIIRS,l,2,338.45,332.26,D,0
38.57312,-120.49559,350.42,0.52,0.66,2021-08-16,2155,N,VIIRS,n,2,318.66,332.26,D,0
38.57334,-120.48954,367,0.52,0.66,2021-08-16,2155,N,VIIRS,h,2,299.39,69.72,D,0
38.57356,-120.48339,350.61,0.52,0.67,2021-08-16,2155,N,VIIRS,n,2,296.86,69.72,D,0
38.57377,-120.47723,339.08,0.52,0.67,2021-08-16,2155,N,VIIRS,n,2,295.57,18.8,D,0
38.57552,-120.53615,330.76,0.51,0.66,2021-08-16,2155,N,VIIRS,l,2,305.02,19.46,D,0
38.57603,-120.51944,352.52,0.51,0.66,2021-08-16,2155,N,VIIRS,n,2,308.02,96.23,D,0
38.57619,-120.51437,367,0.51,0.66,2021-08-16,2155,N,VIIRS,l,2,332.77,96.23,D,0
38.57634,-120.50922,367,0.51,0.66,2021-08-16,2155,N,VIIRS,l,2,358.92,358.25,D,0
38.57651,-120.50375,367,0.52,0.66,2021-08-16,2155,N,VIIRS,l,2,355.23,358.25,D,0
38.57669,-120.49769,367,0.52,0.66,2021-08-16,2155,N,VIIRS,l,2,333.03,202.97,D,0
38.57689,-120.49129,367,0.52,0.67,2021-08-16,2155,N,VIIRS,h,2,300.85,202.97,D,0
38.57708,-120.48488,343.74,0.52,0.67,2021-08-16,2155,N,VIIRS,n,2,297.47,10.97,D,0
38.57727,-120.47861,330.26,0.52,0.67,2021-08-16,2155,N,VIIRS,n,2,296.13,10.97,D,0
38.5785,-120.51922,367,0.51,0.66,2021-08-16,2155,N,VIIRS,h,2,305.78,75.61,D,0
38.57884,-120.50957,367,0.51,0.66,2021-08-16,2155,N,VIIRS,h,2,327.12,326.86,D,0
38.57903,-120.50425,367,0.51,0.66,2021-08-16,2155,N,VIIRS,l,2,345.22,332.26,D,0
38.57925,-120.49806,351.65,0.52,0.66,2021-08-16,2155,N,VIIRS,l,2,332.26,332.26,D,0
38.57949,-120.4915,367,0.52,0.66,2021-08-16,2155,N,VIIRS,h,2,301.34,69.72,D,0
38.57973,-120.48505,340.98,0.52,0.67,2021-08-16,2155,N,VIIRS,n,2,297.61,69.72,D,0
38.5814,-120.54709,367,0.51,0.66,2021-08-16,2155,N,VIIRS,h,2,306.46,25.69,D,0
38.5821,-120.52449,331.63,0.51,0.66,2021-08-16,2155,N,VIIRS,l,2,304.05,17.94,D,0
38.58224,-120.51963,342.73,0.51,0.66,2021-08-16,2155,N,VIIRS,n,2,304.59,96.23,D,0
38.58239,-120.51503,367,0.51,0.66,2021-08-16,2155,N,VIIRS,h,2,307.63,96.23,D,0
38.58253,-120.51021,316.5,0.51,0.66,2021-08-16,2155,N,VIIRS,l,2,323.06,358.25,D,0
38.5827,-120.50485,367,0.52,0.66,2021-08-16,2155,N,VIIRS,l,2,326.35,358.25,D,0
38.58289,-120.4986,367,0.52,0.66,2021-08-16,2155,N,VIIRS,h,2,312.1,202.97,D,0
38.58309,-120.49213,354.53,0.52,0.67,2021-08-16,2155,N,VIIRS,n,2,298.14,202.97,D,0
38.58328,-120.48598,337.31,0.52,0.67,2021-08-16,2155,N,VIIRS,n,2,296.59,10.97,D,0
38.58373,-120.54645,367,0.51,0.66,2021-08-16,2155,N,VIIRS,h,2,307.27,34.46,D,0
