latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.60984,-105.86547,308.9,0.76,0.77,2020-08-14,1012,N,VIIRS,n,2,281.73,3.3,N,0
40.61192,-105.84863,307.23,0.76,0.77,2020-08-14,1012,N,VIIRS,n,2,282.69,3.3,N,0
40.61521,-105.85811,306.13,0.76,0.77,2020-08-14,1012,N,VIIRS,n,2,281.85,3.3,N,0
40.61534,-105.83565,305.06,0.76,0.77,2020-08-14,1012,N,VIIRS,n,2,281.19,3.66,N,0
40.61857,-105.84496,304.96,0.76,0.77,2020-08-14,1012,N,VIIRS,n,2,283.05,5.72,N,0
40.62137,-105.85303,316.44,0.76,0.77,2020-08-14,1012,N,VIIRS,n,2,284.97,5.72,N,0
40.62149,-105.8762,297.12,0.76,0.77,2020-08-14,1012,N,VIIRS,n,2,281.98,3.72,N,0
40.62482,-105.86297,342.31,0.76,0.77,2020-08-14,1012,N,VIIRS,n,2,287.43,17.77,N,0
40.60477,-105.86448,304.3,0.76,0.77,2020-08-14,1013,N,VIIRS,n,2,282.2,3.97,N,0
40.60621,-105.8918,308.6,0.76,0.77,2020-08-14,1013,N,VIIRS,n,2,281.87,4.05,N,0
40.61372,-105.84435,306.9,0.76,0.77,2020-08-14,1013,N,VIIRS,n,2,283.14,2.69,N,0
40.61665,-105.85294,310.7,0.76,0.77,2020-08-14,1013,N,VIIRS,n,2,282.84,5.15,N,0
40.6167,-105.87628,299.34,0.76,0.77,2020-08-14,1013,N,VIIRS,n,2,280.66,3.97,N,0
40.61716,-105.83127,302.56,0.76,0.77,2020-08-14,1013,N,VIIRS,n,2,281.09,2.69,N,0
40.62037,-105.86385,319.1,0.76,0.77,2020-08-14,1013,N,VIIRS,n,2,284,5.15,N,0
40.62041,-105.84081,299.46,0.76,0.77,2020-08-14,1013,N,VIIRS,n,2,280.72,2.69,N,0
40.62315,-105.84884,295.93,0.76,0.77,2020-08-14,1013,N,VIIRS,n,2,281.64,5.15,N,0
40.62575,-105.85644,327.4,0.76,0.77,2020-08-14,1013,N,VIIRS,n,2,285.62,5.15,N,0
40.63143,-105.87315,319.52,0.76,0.77,2020-08-14,1013,N,VIIRS,n,2,283.28,12.31,N,0
40.59645,-105.86519,333.19,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,300.07,4.06,D,0
40.59902,-105.87052,333.97,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,297.63,0,D,0
40.59973,-105.86607,349.18,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,302.7,0,D,0
40.60114,-105.85718,338.38,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,297.56,314.59,D,0
40.60159,-105.87588,367,0.39,0.36,2020-08-14,1955,N,VIIRS,h,2,353.94,161.27,D,0
40.6023,-105.87141,367,0.39,0.36,2020-08-14,1955,N,VIIRS,l,2,377.09,0,D,0
40.60301,-105.86696,367,0.39,0.36,2020-08-14,1955,N,VIIRS,l,2,376.8,0,D,0
40.60372,-105.8625,367,0.39,0.36,2020-08-14,1955,N,VIIRS,l,2,366.92,314.59,D,0
40.60415,-105.88124,367,0.39,0.36,2020-08-14,1955,N,VIIRS,l,2,372.47,173.58,D,0
40.60487,-105.87675,356.48,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,315.63,173.58,D,0
40.60558,-105.87229,367,0.39,0.36,2020-08-14,1955,N,VIIRS,l,2,326.19,82.94,D,0
40.60585,-105.8491,349.96,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,303.65,21.63,D,0
40.606,-105.89111,367,0.39,0.36,2020-08-14,1955,N,VIIRS,l,2,330.84,61.65,D,0
40.60629,-105.86784,367,0.39,0.36,2020-08-14,1955,N,VIIRS,h,2,352.71,82.94,D,0
40.60657,-105.84459,367,0.39,0.36,2020-08-14,1955,N,VIIRS,h,2,350.28,110.66,D,0
40.60672,-105.8866,351.72,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,321.12,61.65,D,0
40.607,-105.86339,353.57,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,300.72,12.67,D,0
40.6077,-105.85894,339.13,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,296.39,12.67,D,0
40.60887,-105.87315,342.26,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,307.15,82.94,D,0
40.60913,-105.84998,354.44,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,301.88,40.74,D,0
40.60929,-105.89194,367,0.39,0.36,2020-08-14,1955,N,VIIRS,l,2,336.12,40.65,D,0
40.60957,-105.86871,347.27,0.39,0.36,2020-08-14,1955,N,VIIRS,n,2,304.52,82.94,D,0
