latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.69794,-121.63232,326.48,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,283.64,11.55,D,0
39.69899,-121.62399,333.04,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,285,18.13,D,0
39.70071,-121.62396,337.63,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,284.8,13.84,D,0
39.70203,-121.61496,340.97,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,286.53,18.92,D,0
39.70311,-121.63488,329.85,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,282.84,12.76,D,0
39.7037,-121.61491,347.97,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,286.43,13.84,D,0
39.70469,-121.60708,350.57,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,287.74,18.92,D,0
39.70477,-121.63514,329.25,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,282.89,11.55,D,0
39.70602,-121.62621,341.45,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,284.3,12.76,D,0
39.70626,-121.60718,357.29,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,288.52,58.8,D,0
39.70683,-121.64693,326.73,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,282.08,23.21,D,0
39.70768,-121.62633,339.3,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,284.64,13.84,D,0
39.70798,-121.59727,356.18,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,290.22,22.54,D,0
39.70856,-121.64717,327.61,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,282.35,10.32,D,0
39.70906,-121.61717,348.32,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,287.26,52.4,D,0
39.7095,-121.59738,357.27,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,294.77,58.8,D,0
39.70987,-121.63787,333.66,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,283.13,12.76,D,0
39.71053,-121.5897,338.18,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,289.06,22.54,D,0
39.71067,-121.61728,345.06,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,287.07,13.84,D,0
39.71153,-121.63815,335.76,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,283.03,10.32,D,0
39.71174,-121.60921,367,0.72,0.76,2018-11-08,1950,N,VIIRS,h,2,294.43,52.4,D,0
39.71206,-121.58964,357.29,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,289.43,88.84,D,0
39.71292,-121.62882,340.85,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,284.95,12.76,D,0
39.71333,-121.60924,367,0.72,0.76,2018-11-08,1950,N,VIIRS,h,2,295.45,58.8,D,0
39.71371,-121.64962,327.36,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,282.6,15.75,D,0
39.71381,-121.57995,338.42,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,290.46,18.98,D,0
39.71453,-121.62906,344.54,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,284.95,64.75,D,0
39.71458,-121.60078,353.62,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,300.9,92.73,D,0
39.71525,-121.57996,355.27,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,291.37,88.84,D,0
39.7154,-121.64996,325.06,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,282.52,10.32,D,0
39.71592,-121.6199,357.49,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,289.99,52.4,D,0
39.71609,-121.60088,355.02,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,299.35,58.8,D,0
39.71669,-121.64074,343.18,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,284.86,23.94,D,0
39.71748,-121.62016,367,0.73,0.76,2018-11-08,1950,N,VIIRS,h,2,291.1,64.75,D,0
39.71764,-121.59167,344.58,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,299.25,92.73,D,0
39.71835,-121.64101,342.77,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,284.82,10.32,D,0
39.71869,-121.61166,357.6,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,308.38,52.4,D,0
39.71911,-121.5917,343.35,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,299.9,88.84,D,0
39.71968,-121.63183,356.74,0.73,0.76,2018-11-08,1950,N,VIIRS,l,2,286.84,23.94,D,0
39.72021,-121.61187,356.72,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,310.22,100.65,D,0
39.72061,-121.58282,356.95,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,310.63,113.77,D,0
39.72128,-121.63215,356.72,0.73,0.76,2018-11-08,1950,N,VIIRS,l,2,287.82,64.75,D,0
39.72145,-121.60342,357.49,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,297.44,92.73,D,0
39.72205,-121.58282,356.66,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,311.44,88.84,D,0
39.72263,-121.62303,343,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,303.69,101.45,D,0
39.72296,-121.60354,356.96,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,297.6,100.65,D,0
39.72351,-121.64361,327.54,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,284.26,23.94,D,0
39.72369,-121.57364,349.52,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,297.5,113.77,D,0
39.72417,-121.62336,335.01,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,306.31,64.75,D,0
39.72455,-121.5942,367,0.72,0.76,2018-11-08,1950,N,VIIRS,h,2,293.16,92.73,D,0
39.72507,-121.57365,341.78,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,299.94,200.3,D,0
39.72543,-121.61472,356.71,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,300.25,101.45,D,0
39.72602,-121.59425,367,0.72,0.76,2018-11-08,1950,N,VIIRS,h,2,292.63,67.03,D,0
39.72633,-121.5658,367,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,327.71,143.5,D,0
39.72644,-121.63488,351.68,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,287.27,23.94,D,0
39.72692,-121.61501,355.69,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,299.16,100.65,D,0
39.72749,-121.58543,357.49,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,293.68,113.77,D,0
39.72759,-121.56599,367,0.72,0.76,2018-11-08,1950,N,VIIRS,h,2,333.57,200.3,D,0
39.72802,-121.63521,340.76,0.73,0.76,2018-11-08,1950,N,VIIRS,n,2,286.48,36.35,D,0
39.72827,-121.60623,356.78,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,298.07,88.27,D,0
39.72866,-121.55886,367,0.72,0.76,2018-11-08,1950,N,VIIRS,h,2,311.94,143.5,D,0
39.7289,-121.58551,356.96,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,292.13,67.03,D,0
39.72931,-121.62628,349.56,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,295.73,101.45,D,0
39.72974,-121.60644,356.14,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,299.57,100.65,D,0
39.72997,-121.5588,367,0.72,0.76,2018-11-08,1950,N,VIIRS,h,2,313.28,120.12,D,0
39.73038,-121.57681,345.78,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,296.47,113.77,D,0
39.73085,-121.6266,356.88,0.73,0.76,2018-11-08,1950,N,VIIRS,l,2,289.17,36.35,D,0
39.73141,-121.59688,367,0.72,0.76,2018-11-08,1950,N,VIIRS,h,2,299.01,88.27,D,0
39.73173,-121.57689,347.44,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,295.26,102.85,D,0
39.7322,-121.61767,356.88,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,293.51,101.45,D,0
39.73283,-121.59705,356.49,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,300.65,67.03,D,0
39.73309,-121.56876,350.47,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,313.68,143.5,D,0
39.7331,-121.54928,327.98,0.72,0.76,2018-11-08,1950,N,VIIRS,n,2,290.89,120.12,D,0
39.7337,-121.61793,356.86,0.72,0.76,2018-11-08,1950,N,VIIRS,l,2,289.99,37.12,D,0
39.73433,-121.58816,367,0.72,0.76,2018-11-08,1950,N,VIIRS,h,2,294.04,98.07,D,0
