latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
37.17407,-119.28148,306.4,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,291.52,1.04,N,0
37.17496,-119.28625,307.96,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,290.71,1.6,N,0
37.17666,-119.27569,303.07,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,291.75,20.01,N,0
37.17753,-119.28033,338.53,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,293.81,20.01,N,0
37.17841,-119.28506,341.31,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,301.02,81.87,N,0
37.17933,-119.28992,318.14,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,292.73,81.87,N,0
37.18011,-119.27448,305.19,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,292.83,20.01,N,0
37.18097,-119.27905,322.71,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,308.27,20.01,N,0
37.18184,-119.28369,367,0.44,0.39,2020-09-05,1002,N,VIIRS,h,2,337.52,81.87,N,0
37.18272,-119.28841,341.87,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,301.57,81.87,N,0
37.18353,-119.27309,307.8,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,293.34,40.79,N,0
37.18362,-119.29324,309.89,0.44,0.38,2020-09-05,1002,N,VIIRS,n,2,295.19,2.1,N,0
37.18438,-119.27767,367,0.44,0.39,2020-09-05,1002,N,VIIRS,h,2,324.67,40.79,N,0
37.18525,-119.28227,367,0.44,0.39,2020-09-05,1002,N,VIIRS,h,2,364.96,147.18,N,0
37.18611,-119.28693,344.59,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,298.37,147.18,N,0
37.18694,-119.27166,310.6,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,293.56,40.79,N,0
37.187,-119.29164,310.87,0.44,0.38,2020-09-05,1002,N,VIIRS,n,2,293.82,1.76,N,0
37.1878,-119.27628,367,0.44,0.39,2020-09-05,1002,N,VIIRS,h,2,341.93,40.79,N,0
37.18866,-119.28089,367,0.44,0.39,2020-09-05,1002,N,VIIRS,h,2,358.92,147.18,N,0
37.18953,-119.28554,331.45,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,314.81,147.18,N,0
37.19035,-119.27026,312.31,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,294.06,62.84,N,0
37.1904,-119.29022,310.25,0.44,0.38,2020-09-05,1002,N,VIIRS,n,2,293.81,1.76,N,0
37.19122,-119.27489,335.05,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,328.85,62.84,N,0
37.19208,-119.27954,339.64,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,333.06,44.1,N,0
37.19296,-119.28421,341.18,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,314.46,44.1,N,0
37.19376,-119.26883,314.57,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,302.99,62.84,N,0
37.19383,-119.2889,306.5,0.44,0.38,2020-09-05,1002,N,VIIRS,n,2,293.92,1.7,N,0
37.19464,-119.27354,367,0.44,0.39,2020-09-05,1002,N,VIIRS,h,2,345.51,62.84,N,0
37.19553,-119.27831,354.73,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,314.65,44.1,N,0
37.19642,-119.2831,312.8,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,295.05,44.1,N,0
37.19722,-119.2677,332.58,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,298.25,20.41,N,0
37.19814,-119.2726,347.07,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,313.92,20.41,N,0
37.19905,-119.2775,324.72,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,295.6,4.98,N,0
37.20169,-119.27195,305.09,0.44,0.39,2020-09-05,1002,N,VIIRS,n,2,294.05,20.41,N,0
37.16874,-119.29563,367,0.42,0.46,2020-09-05,2123,N,VIIRS,l,2,329.52,136.64,D,0
37.16921,-119.29069,367,0.42,0.46,2020-09-05,2123,N,VIIRS,l,2,336.53,99.38,D,0
37.1719,-119.30714,367,0.42,0.46,2020-09-05,2123,N,VIIRS,l,2,337.26,116.91,D,0
37.17241,-119.30183,367,0.42,0.46,2020-09-05,2123,N,VIIRS,l,2,337.86,68.79,D,0
37.17295,-119.29617,367,0.42,0.46,2020-09-05,2123,N,VIIRS,h,2,337.07,68.79,D,0
37.17345,-119.29098,351.13,0.42,0.46,2020-09-05,2123,N,VIIRS,n,2,321,34.73,D,0
37.17393,-119.28599,355.9,0.43,0.46,2020-09-05,2123,N,VIIRS,n,2,321.09,34.73,D,0
37.17414,-119.32822,347.7,0.42,0.45,2020-09-05,2123,N,VIIRS,n,2,313.1,350.68,D,0
37.17437,-119.2813,367,0.43,0.46,2020-09-05,2123,N,VIIRS,h,2,335.2,205.45,D,0
37.17455,-119.32397,367,0.42,0.45,2020-09-05,2123,N,VIIRS,l,2,373.35,350.68,D,0
37.1748,-119.27684,367,0.43,0.46,2020-09-05,2123,N,VIIRS,l,2,331.66,205.45,D,0
37.17495,-119.31974,367,0.42,0.45,2020-09-05,2123,N,VIIRS,l,2,365.83,517.6,D,0
37.17521,-119.27252,344.66,0.43,0.46,2020-09-05,2123,N,VIIRS,n,2,306.53,254.91,D,0
37.17535,-119.31559,367,0.42,0.45,2020-09-05,2123,N,VIIRS,h,2,362.07,517.6,D,0
37.17564,-119.26805,336.86,0.43,0.46,2020-09-05,2123,N,VIIRS,n,2,305.67,254.91,D,0
37.17576,-119.31129,367,0.42,0.45,2020-09-05,2123,N,VIIRS,h,2,343.37,116.91,D,0
37.1762,-119.30672,354.64,0.42,0.46,2020-09-05,2123,N,VIIRS,n,2,322.72,116.91,D,0
37.17667,-119.30181,356.41,0.42,0.46,2020-09-05,2123,N,VIIRS,n,2,322.19,68.79,D,0
37.17718,-119.29655,367,0.42,0.46,2020-09-05,2123,N,VIIRS,h,2,323.55,68.79,D,0
37.17769,-119.29121,367,0.42,0.46,2020-09-05,2123,N,VIIRS,h,2,314.9,34.73,D,0
37.17818,-119.28613,367,0.43,0.46,2020-09-05,2123,N,VIIRS,h,2,318.36,34.73,D,0
37.17841,-119.32816,367,0.42,0.45,2020-09-05,2123,N,VIIRS,l,2,359.59,256.92,D,0
37.17863,-119.28139,367,0.43,0.46,2020-09-05,2123,N,VIIRS,h,2,340.91,205.45,D,0
37.17883,-119.32376,367,0.42,0.45,2020-09-05,2123,N,VIIRS,l,2,378.57,256.92,D,0
37.17906,-119.27689,367,0.43,0.46,2020-09-05,2123,N,VIIRS,l,2,375.62,205.45,D,0
37.17924,-119.31939,367,0.42,0.45,2020-09-05,2123,N,VIIRS,h,2,355.98,164.79,D,0
37.17948,-119.27251,367,0.43,0.46,2020-09-05,2123,N,VIIRS,l,2,358.97,254.91,D,0
37.17993,-119.26784,367,0.43,0.46,2020-09-05,2123,N,VIIRS,h,2,371.26,254.91,D,0
37.1801,-119.31058,353.62,0.42,0.45,2020-09-05,2123,N,VIIRS,n,2,320.63,45.07,D,0
37.1804,-119.26288,350.91,0.43,0.46,2020-09-05,2123,N,VIIRS,n,2,306.74,112.67,D,0
37.18052,-119.30608,353.94,0.42,0.46,2020-09-05,2123,N,VIIRS,n,2,319.62,45.07,D,0
37.18099,-119.30122,356.02,0.42,0.46,2020-09-05,2123,N,VIIRS,n,2,320.8,36.3,D,0
37.1815,-119.29601,367,0.42,0.46,2020-09-05,2123,N,VIIRS,h,2,316.61,36.3,D,0
37.18201,-119.29067,355.24,0.42,0.46,2020-09-05,2123,N,VIIRS,n,2,310.32,14.74,D,0
37.18228,-119.3322,367,0.42,0.45,2020-09-05,2123,N,VIIRS,l,2,366.51,255.41,D,0
37.18249,-119.28568,355.28,0.43,0.46,2020-09-05,2123,N,VIIRS,n,2,311.23,14.74,D,0
37.18269,-119.32796,367,0.42,0.45,2020-09-05,2123,N,VIIRS,l,2,365.62,256.92,D,0
37.18294,-119.28098,356.46,0.43,0.46,2020-09-05,2123,N,VIIRS,n,2,316.78,128.01,D,0
37.18311,-119.32354,367,0.42,0.45,2020-09-05,2123,N,VIIRS,h,2,355.34,256.92,D,0
37.18337,-119.27647,367,0.43,0.46,2020-09-05,2123,N,VIIRS,l,2,358.58,128.01,D,0
37.18355,-119.31901,367,0.42,0.45,2020-09-05,2123,N,VIIRS,l,2,332.06,164.79,D,0
37.18381,-119.27193,367,0.43,0.46,2020-09-05,2123,N,VIIRS,l,2,374.98,310.73,D,0
37.184,-119.31428,355.24,0.42,0.45,2020-09-05,2123,N,VIIRS,n,2,316.29,164.79,D,0
37.18427,-119.26717,367,0.43,0.46,2020-09-05,2123,N,VIIRS,l,2,345.62,310.73,D,0
37.18444,-119.30968,356.42,0.42,0.45,2020-09-05,2123,N,VIIRS,n,2,314.69,45.07,D,0
37.18473,-119.26228,367,0.43,0.46,2020-09-05,2123,N,VIIRS,h,2,349.72,122.76,D,0
37.18489,-119.30508,355.77,0.42,0.46,2020-09-05,2123,N,VIIRS,n,2,317.11,45.07,D,0
37.18519,-119.25751,337.77,0.43,0.46,2020-09-05,2123,N,VIIRS,n,2,304.92,122.76,D,0
37.18538,-119.30002,356.83,0.42,0.46,2020-09-05,2123,N,VIIRS,n,2,315.59,36.3,D,0
37.18588,-119.29482,355.7,0.42,0.46,2020-09-05,2123,N,VIIRS,l,2,324.65,36.3,D,0
37.18637,-119.28979,367,0.42,0.46,2020-09-05,2123,N,VIIRS,h,2,317.35,14.74,D,0
