latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.87191,-121.37685,332.21,0.41,0.61,2021-07-14,1051,N,VIIRS,n,2,294.28,5.1,N,0
39.87439,-121.38574,325.32,0.41,0.61,2021-07-14,1051,N,VIIRS,n,2,291.96,5.46,N,0
39.87703,-121.38073,346.41,0.41,0.61,2021-07-14,1051,N,VIIRS,n,2,295.23,5.52,N,0
39.9548,-120.28515,306.74,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,291.17,2.1,N,0
39.96037,-120.28239,301.92,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,290.1,1.24,N,0
39.96955,-120.27007,304.36,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,291.3,1.43,N,0
39.97139,-120.27637,313.92,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,291.18,2.85,N,0
39.97322,-120.26077,301.32,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,290.36,1.43,N,0
39.97482,-120.26622,305.25,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,290.69,1.43,N,0
39.97644,-120.27179,322,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,292.42,2.85,N,0
39.97852,-120.25701,302.03,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,291.73,2.59,N,0
39.98004,-120.26223,307.75,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,291.49,2.59,N,0
39.9817,-120.26791,335.27,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,292.17,7.31,N,0
39.98543,-120.25879,308.11,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,290.43,2.59,N,0
39.98714,-120.2647,367,0.47,0.64,2021-07-14,1051,N,VIIRS,h,2,297.82,7.31,N,0
39.9889,-120.27071,320.66,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,288.18,7.31,N,0
39.99084,-120.25544,335.66,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,292.83,10.23,N,0
39.99261,-120.26153,367,0.47,0.64,2021-07-14,1051,N,VIIRS,h,2,303.01,16.26,N,0
39.99435,-120.26752,335.71,0.47,0.64,2021-07-14,1051,N,VIIRS,n,2,289.17,16.26,N,0
39.97764,-120.2683,367,0.53,0.42,2021-07-14,2033,N,VIIRS,l,2,326.12,76.67,D,0
39.9814,-120.26968,351.13,0.53,0.42,2021-07-14,2033,N,VIIRS,l,2,322.91,73.98,D,0
39.99015,-120.26634,356.12,0.53,0.42,2021-07-14,2033,N,VIIRS,n,2,323.21,39.97,D,0
39.99134,-120.26049,367,0.53,0.42,2021-07-14,2033,N,VIIRS,h,2,323.05,39.97,D,0
39.99254,-120.25463,354.83,0.53,0.42,2021-07-14,2033,N,VIIRS,n,2,319.88,28.07,D,0
39.99393,-120.26759,367,0.53,0.42,2021-07-14,2033,N,VIIRS,h,2,334,39.97,D,0
39.99512,-120.26171,367,0.53,0.42,2021-07-14,2033,N,VIIRS,h,2,333.33,39.97,D,0
39.99632,-120.25584,354.65,0.53,0.42,2021-07-14,2033,N,VIIRS,l,2,337.35,28.07,D,0
39.99753,-120.24991,367,0.53,0.42,2021-07-14,2033,N,VIIRS,l,2,326.62,28.07,D,0
39.99772,-120.26881,367,0.53,0.42,2021-07-14,2033,N,VIIRS,l,2,328.6,368.75,D,0
39.99891,-120.26298,367,0.53,0.42,2021-07-14,2033,N,VIIRS,l,2,373.63,368.75,D,0
40.0001,-120.2571,367,0.53,0.42,2021-07-14,2033,N,VIIRS,h,2,348.25,79.25,D,0
40.00131,-120.25115,354.41,0.53,0.42,2021-07-14,2033,N,VIIRS,l,2,339.39,79.25,D,0
40.00387,-120.25839,367,0.53,0.42,2021-07-14,2033,N,VIIRS,h,2,304.03,79.25,D,0
40.00507,-120.25246,350.46,0.53,0.42,2021-07-14,2033,N,VIIRS,n,2,311.11,79.25,D,0
39.8643,-121.3963,342.04,0.4,0.44,2021-07-14,2034,N,VIIRS,n,2,312.12,26.8,D,0
39.86511,-121.39254,367,0.4,0.44,2021-07-14,2034,N,VIIRS,h,2,319.63,19.56,D,0
39.86595,-121.38863,367,0.4,0.44,2021-07-14,2034,N,VIIRS,h,2,320.3,19.56,D,0
39.86682,-121.40455,340.66,0.4,0.44,2021-07-14,2034,N,VIIRS,n,2,313.83,7.4,D,0
39.86688,-121.38432,351.13,0.4,0.44,2021-07-14,2034,N,VIIRS,n,2,316.35,29.76,D,0
39.86768,-121.40051,355.37,0.4,0.44,2021-07-14,2034,N,VIIRS,l,2,331.64,26.8,D,0
39.86852,-121.39663,351.23,0.4,0.44,2021-07-14,2034,N,VIIRS,l,2,331.43,26.8,D,0
39.86935,-121.39278,367,0.4,0.44,2021-07-14,2034,N,VIIRS,h,2,321.93,19.56,D,0
39.87018,-121.38891,367,0.4,0.44,2021-07-14,2034,N,VIIRS,h,2,320.66,19.56,D,0
39.87096,-121.40524,346.18,0.4,0.44,2021-07-14,2034,N,VIIRS,n,2,319.4,17.1,D,0
39.87103,-121.38495,353.98,0.4,0.44,2021-07-14,2034,N,VIIRS,n,2,322.3,29.76,D,0
39.87185,-121.40108,367,0.4,0.44,2021-07-14,2034,N,VIIRS,h,2,327.46,21.89,D,0
39.87185,-121.38112,367,0.4,0.44,2021-07-14,2034,N,VIIRS,l,2,329.74,29.76,D,0
39.8727,-121.39712,367,0.4,0.44,2021-07-14,2034,N,VIIRS,h,2,326.95,21.89,D,0
39.87273,-121.377,367,0.4,0.44,2021-07-14,2034,N,VIIRS,h,2,318.92,27.26,D,0
39.87354,-121.39321,367,0.4,0.44,2021-07-14,2034,N,VIIRS,h,2,328.08,39.61,D,0
39.87436,-121.38934,357.13,0.4,0.44,2021-07-14,2034,N,VIIRS,n,2,322.5,39.61,D,0
39.87499,-121.40639,344.57,0.4,0.44,2021-07-14,2034,N,VIIRS,n,2,314.64,17.1,D,0
