latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.12427,-120.81952,345.53,0.38,0.36,2022-09-06,956,N,VIIRS,n,2,297.44,6.77,N,0
39.12755,-120.81867,351.8,0.38,0.36,2022-09-06,956,N,VIIRS,n,2,300.37,7.84,N,0
39.0011,-120.71959,346.95,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,311.47,9.78,D,0
39.00179,-120.71519,353.76,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,318.49,39.09,D,0
39.00236,-120.73365,348.74,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,310.39,36.4,D,0
39.00247,-120.71078,349.4,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,315.54,39.09,D,0
39.00303,-120.72925,344.95,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,318.2,36.4,D,0
39.00371,-120.72482,367,0.38,0.36,2022-09-07,2059,N,VIIRS,l,2,366.82,181.59,D,0
39.00439,-120.72042,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,351.56,181.59,D,0
39.00507,-120.71603,367,0.38,0.36,2022-09-07,2059,N,VIIRS,l,2,370.04,169.31,D,0
39.00564,-120.73448,367,0.38,0.36,2022-09-07,2059,N,VIIRS,l,2,327.03,36.4,D,0
39.00575,-120.71162,348.13,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,306.88,169.31,D,0
39.00622,-120.75291,345.56,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,314.08,7.74,D,0
39.00632,-120.73007,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,345.44,36.4,D,0
39.007,-120.72567,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,360.44,181.59,D,0
39.00768,-120.72126,367,0.38,0.36,2022-09-07,2059,N,VIIRS,l,2,362.09,181.59,D,0
39.00883,-120.75814,350.7,0.38,0.36,2022-09-07,2059,N,VIIRS,l,2,322.87,36.23,D,0
39.00893,-120.73531,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,344.77,112.17,D,0
39.00903,-120.71245,354.46,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,300.08,169.31,D,0
39.00951,-120.75374,345.31,0.38,0.36,2022-09-07,2059,N,VIIRS,l,2,317.06,7.74,D,0
39.00961,-120.7309,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,358.63,112.17,D,0
39.01028,-120.7265,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,336.25,96.44,D,0
39.01096,-120.72211,347.88,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,309.91,96.44,D,0
39.01145,-120.76337,351.03,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,316.89,29.99,D,0
39.01154,-120.74055,356.02,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,323.11,33.42,D,0
39.01163,-120.71769,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,302.56,10.03,D,0
39.01222,-120.73614,367,0.38,0.36,2022-09-07,2059,N,VIIRS,l,2,333.55,112.17,D,0
39.01231,-120.71329,351.26,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,299.88,10.03,D,0
39.0129,-120.73174,367,0.38,0.36,2022-09-07,2059,N,VIIRS,l,2,354.82,112.17,D,0
39.01357,-120.72733,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,359.26,96.44,D,0
39.01405,-120.76859,346.16,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,315.62,39.7,D,0
39.01415,-120.74577,348.54,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,317.75,24.71,D,0
39.01425,-120.72292,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,310.05,96.44,D,0
39.01483,-120.74135,353.25,0.38,0.36,2022-09-07,2059,N,VIIRS,l,2,332.29,24.71,D,0
39.01493,-120.71853,353.15,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,304.67,10.03,D,0
39.01551,-120.73695,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,342.08,70.25,D,0
39.01609,-120.75537,346.45,0.38,0.36,2022-09-07,2059,N,VIIRS,l,2,321.02,9.87,D,0
39.01619,-120.73257,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,310.05,70.25,D,0
39.01677,-120.75097,347.49,0.38,0.36,2022-09-07,2059,N,VIIRS,l,2,320.08,9.87,D,0
39.01734,-120.76941,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,354.12,132.77,D,0
39.01744,-120.74657,354.81,0.38,0.36,2022-09-07,2059,N,VIIRS,n,2,318.39,24.71,D,0
39.01754,-120.72375,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,304.89,38.81,D,0
39.01812,-120.74217,367,0.38,0.36,2022-09-07,2059,N,VIIRS,h,2,346.07,24.71,D,0
